date,sentiment_score,sentiment_label,simulated_headline
2018-02-19,1.0,Positive,Bulls taking control of the market.
2018-02-20,0.186,Neutral,Market participants remain undecided.
2018-02-21,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-02-22,-0.739,Negative,Investors fleeing risk-on assets.
2018-02-23,0.623,Positive,Bulls taking control of the market.
2018-02-24,-0.452,Negative,Fears of regulatory crackdown loom.
2018-02-25,-0.152,Neutral,Market participants remain undecided.
2018-02-26,0.815,Positive,Bulls taking control of the market.
2018-02-27,0.203,Neutral,Trading sideways with no clear direction.
2018-02-28,-0.386,Negative,Investors fleeing risk-on assets.
2018-03-01,0.932,Positive,Institutional adoption continues to grow.
2018-03-02,0.248,Neutral,Low volatility day ahead of fed meeting.
2018-03-03,0.532,Positive,Institutional adoption continues to grow.
2018-03-04,-0.012,Neutral,Low volatility day ahead of fed meeting.
2018-03-05,-0.174,Neutral,Market consolidating around key levels.
2018-03-06,-0.996,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-03-07,-0.842,Negative,Investors fleeing risk-on assets.
2018-03-08,-1.0,Negative,Major exchange hack sparks panic selling.
2018-03-09,-0.213,Neutral,Market participants remain undecided.
2018-03-10,-0.71,Negative,Investors fleeing risk-on assets.
2018-03-11,1.0,Positive,Institutional adoption continues to grow.
2018-03-12,-0.694,Negative,Investors fleeing risk-on assets.
2018-03-13,-0.029,Neutral,Low volatility day ahead of fed meeting.
2018-03-14,-0.9,Negative,Bears dominating as support levels break.
2018-03-15,0.116,Neutral,Market participants remain undecided.
2018-03-16,0.103,Neutral,Market participants remain undecided.
2018-03-17,-0.868,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-03-18,0.847,Positive,Bulls taking control of the market.
2018-03-19,0.571,Positive,Record high inflows seen in crypto funds.
2018-03-20,0.364,Positive,Institutional adoption continues to grow.
2018-03-21,-0.152,Neutral,Sideways trading continues throughout the session.
2018-03-22,-0.385,Negative,Fears of regulatory crackdown loom.
2018-03-23,0.373,Positive,Market shows strong resilience.
2018-03-24,-0.629,Negative,Major exchange hack sparks panic selling.
2018-03-25,-0.27,Neutral,Low volatility day ahead of fed meeting.
2018-03-26,-0.455,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-03-27,-0.428,Negative,Investors fleeing risk-on assets.
2018-03-28,0.16,Neutral,Market consolidating around key levels.
2018-03-29,-1.0,Negative,Major exchange hack sparks panic selling.
2018-03-30,-0.619,Negative,Fears of regulatory crackdown loom.
2018-03-31,0.056,Neutral,Market participants remain undecided.
2018-04-01,-0.22,Neutral,Sideways trading continues throughout the session.
2018-04-02,0.441,Positive,Positive regulatory news sparks a rally.
2018-04-03,0.908,Positive,Positive regulatory news sparks a rally.
2018-04-04,-0.961,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-04-05,-0.003,Neutral,Sideways trading continues throughout the session.
2018-04-06,-0.537,Negative,Investors fleeing risk-on assets.
2018-04-07,0.719,Positive,Positive regulatory news sparks a rally.
2018-04-08,0.13,Neutral,Trading sideways with no clear direction.
2018-04-09,-0.537,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-04-10,0.232,Neutral,Market participants remain undecided.
2018-04-11,0.421,Positive,Market shows strong resilience.
2018-04-12,0.944,Positive,Record high inflows seen in crypto funds.
2018-04-13,-0.26,Neutral,Market consolidating around key levels.
2018-04-14,0.039,Neutral,Market participants remain undecided.
2018-04-15,0.699,Positive,Institutional adoption continues to grow.
2018-04-16,-0.631,Negative,Fears of regulatory crackdown loom.
2018-04-17,-0.367,Negative,Bears dominating as support levels break.
2018-04-18,0.408,Positive,Market shows strong resilience.
2018-04-19,0.345,Positive,Institutional adoption continues to grow.
2018-04-20,1.0,Positive,Market shows strong resilience.
2018-04-21,0.191,Neutral,Trading sideways with no clear direction.
2018-04-22,-0.295,Neutral,Market participants remain undecided.
2018-04-23,0.18,Neutral,Sideways trading continues throughout the session.
2018-04-24,0.877,Positive,Market shows strong resilience.
2018-04-25,-0.947,Negative,Bears dominating as support levels break.
2018-04-26,0.672,Positive,Market shows strong resilience.
2018-04-27,-0.459,Negative,Fears of regulatory crackdown loom.
2018-04-28,0.863,Positive,Positive regulatory news sparks a rally.
2018-04-29,0.014,Neutral,Low volatility day ahead of fed meeting.
2018-04-30,-0.26,Neutral,Market consolidating around key levels.
2018-05-01,-0.177,Neutral,Market participants remain undecided.
2018-05-02,0.166,Neutral,Market participants remain undecided.
2018-05-03,0.62,Positive,Bulls taking control of the market.
2018-05-04,0.107,Neutral,Market participants remain undecided.
2018-05-05,0.297,Neutral,Trading sideways with no clear direction.
2018-05-06,-0.23,Neutral,Market participants remain undecided.
2018-05-07,-0.463,Negative,Bears dominating as support levels break.
2018-05-08,-0.373,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-05-09,0.313,Positive,Record high inflows seen in crypto funds.
2018-05-10,-0.627,Negative,Major exchange hack sparks panic selling.
2018-05-11,-1.0,Negative,Fears of regulatory crackdown loom.
2018-05-12,-0.073,Neutral,Trading sideways with no clear direction.
2018-05-13,0.418,Positive,Positive regulatory news sparks a rally.
2018-05-14,-0.088,Neutral,Sideways trading continues throughout the session.
2018-05-15,-0.371,Negative,Major exchange hack sparks panic selling.
2018-05-16,-0.301,Negative,Bears dominating as support levels break.
2018-05-17,-0.391,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-05-18,0.467,Positive,Market shows strong resilience.
2018-05-19,-0.098,Neutral,Trading sideways with no clear direction.
2018-05-20,0.492,Positive,Bulls taking control of the market.
2018-05-21,-0.41,Negative,Bears dominating as support levels break.
2018-05-22,-0.57,Negative,Bears dominating as support levels break.
2018-05-23,-0.942,Negative,Major exchange hack sparks panic selling.
2018-05-24,0.124,Neutral,Sideways trading continues throughout the session.
2018-05-25,-0.377,Negative,Major exchange hack sparks panic selling.
2018-05-26,-0.16,Neutral,Market consolidating around key levels.
2018-05-27,-0.108,Neutral,Trading sideways with no clear direction.
2018-05-28,-0.663,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-05-29,0.94,Positive,Positive regulatory news sparks a rally.
2018-05-30,-0.112,Neutral,Market consolidating around key levels.
2018-05-31,0.403,Positive,Institutional adoption continues to grow.
2018-06-01,0.06,Neutral,Market consolidating around key levels.
2018-06-02,0.406,Positive,Record high inflows seen in crypto funds.
2018-06-03,-0.011,Neutral,Market consolidating around key levels.
2018-06-04,-0.548,Negative,Investors fleeing risk-on assets.
2018-06-05,0.278,Neutral,Low volatility day ahead of fed meeting.
2018-06-06,-0.088,Neutral,Market participants remain undecided.
2018-06-07,-0.061,Neutral,Low volatility day ahead of fed meeting.
2018-06-08,-0.208,Neutral,Sideways trading continues throughout the session.
2018-06-09,-0.257,Neutral,Market consolidating around key levels.
2018-06-10,-0.825,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-06-11,0.232,Neutral,Market participants remain undecided.
2018-06-12,-0.815,Negative,Fears of regulatory crackdown loom.
2018-06-13,-0.71,Negative,Bears dominating as support levels break.
2018-06-14,0.842,Positive,Positive regulatory news sparks a rally.
2018-06-15,-0.38,Negative,Bears dominating as support levels break.
2018-06-16,0.293,Neutral,Market participants remain undecided.
2018-06-17,-0.13,Neutral,Market participants remain undecided.
2018-06-18,0.558,Positive,Positive regulatory news sparks a rally.
2018-06-19,0.018,Neutral,Trading sideways with no clear direction.
2018-06-20,-0.103,Neutral,Market consolidating around key levels.
2018-06-21,-0.293,Neutral,Market consolidating around key levels.
2018-06-22,-0.974,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-06-23,0.286,Neutral,Market participants remain undecided.
2018-06-24,0.044,Neutral,Market participants remain undecided.
2018-06-25,0.236,Neutral,Trading sideways with no clear direction.
2018-06-26,-0.245,Neutral,Sideways trading continues throughout the session.
2018-06-27,0.162,Neutral,Sideways trading continues throughout the session.
2018-06-28,-0.609,Negative,Bears dominating as support levels break.
2018-06-29,0.908,Positive,Market shows strong resilience.
2018-06-30,0.575,Positive,Institutional adoption continues to grow.
2018-07-01,0.009,Neutral,Sideways trading continues throughout the session.
2018-07-02,0.614,Positive,Record high inflows seen in crypto funds.
2018-07-03,-0.422,Negative,Fears of regulatory crackdown loom.
2018-07-04,0.089,Neutral,Market consolidating around key levels.
2018-07-05,-0.224,Neutral,Trading sideways with no clear direction.
2018-07-06,0.379,Positive,Bulls taking control of the market.
2018-07-07,0.184,Neutral,Low volatility day ahead of fed meeting.
2018-07-08,-0.185,Neutral,Sideways trading continues throughout the session.
2018-07-09,-0.237,Neutral,Trading sideways with no clear direction.
2018-07-10,-0.991,Negative,Major exchange hack sparks panic selling.
2018-07-11,0.176,Neutral,Market consolidating around key levels.
2018-07-12,-0.295,Neutral,Sideways trading continues throughout the session.
2018-07-13,0.096,Neutral,Sideways trading continues throughout the session.
2018-07-14,0.132,Neutral,Market consolidating around key levels.
2018-07-15,0.332,Positive,Positive regulatory news sparks a rally.
2018-07-16,0.696,Positive,Bulls taking control of the market.
2018-07-17,0.888,Positive,Institutional adoption continues to grow.
2018-07-18,0.211,Neutral,Market participants remain undecided.
2018-07-19,0.321,Positive,Record high inflows seen in crypto funds.
2018-07-20,-0.35,Negative,Investors fleeing risk-on assets.
2018-07-21,0.298,Neutral,Low volatility day ahead of fed meeting.
2018-07-22,0.022,Neutral,Sideways trading continues throughout the session.
2018-07-23,0.604,Positive,Bulls taking control of the market.
2018-07-24,1.0,Positive,Institutional adoption continues to grow.
2018-07-25,-0.216,Neutral,Market consolidating around key levels.
2018-07-26,-0.491,Negative,Investors fleeing risk-on assets.
2018-07-27,0.688,Positive,Market shows strong resilience.
2018-07-28,-0.034,Neutral,Market consolidating around key levels.
2018-07-29,0.137,Neutral,Market participants remain undecided.
2018-07-30,0.101,Neutral,Sideways trading continues throughout the session.
2018-07-31,-0.668,Negative,Fears of regulatory crackdown loom.
2018-08-01,-0.24,Neutral,Market participants remain undecided.
2018-08-02,-0.045,Neutral,Low volatility day ahead of fed meeting.
2018-08-03,-0.38,Negative,Investors fleeing risk-on assets.
2018-08-04,-0.794,Negative,Investors fleeing risk-on assets.
2018-08-05,-0.102,Neutral,Trading sideways with no clear direction.
2018-08-06,-0.213,Neutral,Market participants remain undecided.
2018-08-07,-0.629,Negative,Major exchange hack sparks panic selling.
2018-08-08,-0.893,Negative,Fears of regulatory crackdown loom.
2018-08-09,0.542,Positive,Bulls taking control of the market.
2018-08-10,-0.76,Negative,Bears dominating as support levels break.
2018-08-11,0.396,Positive,Institutional adoption continues to grow.
2018-08-12,0.203,Neutral,Low volatility day ahead of fed meeting.
2018-08-13,-0.238,Neutral,Market consolidating around key levels.
2018-08-14,-0.181,Neutral,Market participants remain undecided.
2018-08-15,0.224,Neutral,Market consolidating around key levels.
2018-08-16,0.09,Neutral,Sideways trading continues throughout the session.
2018-08-17,0.619,Positive,Institutional adoption continues to grow.
2018-08-18,-0.525,Negative,Bears dominating as support levels break.
2018-08-19,0.271,Neutral,Low volatility day ahead of fed meeting.
2018-08-20,-0.35,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-08-21,0.616,Positive,Market shows strong resilience.
2018-08-22,-0.228,Neutral,Market participants remain undecided.
2018-08-23,0.437,Positive,Institutional adoption continues to grow.
2018-08-24,0.323,Positive,Institutional adoption continues to grow.
2018-08-25,0.301,Positive,Record high inflows seen in crypto funds.
2018-08-26,0.096,Neutral,Market consolidating around key levels.
2018-08-27,0.464,Positive,Record high inflows seen in crypto funds.
2018-08-28,0.295,Neutral,Sideways trading continues throughout the session.
2018-08-29,0.06,Neutral,Low volatility day ahead of fed meeting.
2018-08-30,-0.022,Neutral,Sideways trading continues throughout the session.
2018-08-31,0.0,Neutral,Market participants remain undecided.
2018-09-01,0.298,Neutral,Low volatility day ahead of fed meeting.
2018-09-02,0.183,Neutral,Trading sideways with no clear direction.
2018-09-03,0.069,Neutral,Sideways trading continues throughout the session.
2018-09-04,0.373,Positive,Institutional adoption continues to grow.
2018-09-05,-1.0,Negative,Bears dominating as support levels break.
2018-09-06,-0.23,Neutral,Market consolidating around key levels.
2018-09-07,-0.363,Negative,Major exchange hack sparks panic selling.
2018-09-08,-0.663,Negative,Investors fleeing risk-on assets.
2018-09-09,0.143,Neutral,Market participants remain undecided.
2018-09-10,0.24,Neutral,Market participants remain undecided.
2018-09-11,-0.207,Neutral,Low volatility day ahead of fed meeting.
2018-09-12,0.046,Neutral,Trading sideways with no clear direction.
2018-09-13,0.461,Positive,Institutional adoption continues to grow.
2018-09-14,-0.04,Neutral,Trading sideways with no clear direction.
2018-09-15,0.274,Neutral,Sideways trading continues throughout the session.
2018-09-16,-0.051,Neutral,Market participants remain undecided.
2018-09-17,-0.64,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-09-18,0.304,Positive,Institutional adoption continues to grow.
2018-09-19,-0.019,Neutral,Market consolidating around key levels.
2018-09-20,0.305,Positive,Positive regulatory news sparks a rally.
2018-09-21,0.635,Positive,Institutional adoption continues to grow.
2018-09-22,0.099,Neutral,Market consolidating around key levels.
2018-09-23,-0.211,Neutral,Trading sideways with no clear direction.
2018-09-24,-0.422,Negative,Fears of regulatory crackdown loom.
2018-09-25,-0.163,Neutral,Trading sideways with no clear direction.
2018-09-26,-0.12,Neutral,Low volatility day ahead of fed meeting.
2018-09-27,0.553,Positive,Market shows strong resilience.
2018-09-28,-0.16,Neutral,Low volatility day ahead of fed meeting.
2018-09-29,0.062,Neutral,Market participants remain undecided.
2018-09-30,-0.037,Neutral,Sideways trading continues throughout the session.
2018-10-01,0.113,Neutral,Low volatility day ahead of fed meeting.
2018-10-02,-0.251,Neutral,Low volatility day ahead of fed meeting.
2018-10-03,-0.034,Neutral,Low volatility day ahead of fed meeting.
2018-10-04,0.095,Neutral,Sideways trading continues throughout the session.
2018-10-05,0.092,Neutral,Market consolidating around key levels.
2018-10-06,0.081,Neutral,Low volatility day ahead of fed meeting.
2018-10-07,0.139,Neutral,Market participants remain undecided.
2018-10-08,-0.027,Neutral,Sideways trading continues throughout the session.
2018-10-09,0.057,Neutral,Low volatility day ahead of fed meeting.
2018-10-10,0.105,Neutral,Sideways trading continues throughout the session.
2018-10-11,-0.999,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-10-12,0.262,Neutral,Trading sideways with no clear direction.
2018-10-13,0.219,Neutral,Market consolidating around key levels.
2018-10-14,0.008,Neutral,Market consolidating around key levels.
2018-10-15,0.848,Positive,Market shows strong resilience.
2018-10-16,-0.145,Neutral,Low volatility day ahead of fed meeting.
2018-10-17,-0.029,Neutral,Trading sideways with no clear direction.
2018-10-18,-0.187,Neutral,Market participants remain undecided.
2018-10-19,-0.094,Neutral,Sideways trading continues throughout the session.
2018-10-20,0.258,Neutral,Market consolidating around key levels.
2018-10-21,0.116,Neutral,Market participants remain undecided.
2018-10-22,0.159,Neutral,Market participants remain undecided.
2018-10-23,-0.256,Neutral,Market participants remain undecided.
2018-10-24,-0.148,Neutral,Trading sideways with no clear direction.
2018-10-25,-0.108,Neutral,Market consolidating around key levels.
2018-10-26,-0.098,Neutral,Market consolidating around key levels.
2018-10-27,0.044,Neutral,Market participants remain undecided.
2018-10-28,0.065,Neutral,Market consolidating around key levels.
2018-10-29,-0.444,Negative,Fears of regulatory crackdown loom.
2018-10-30,-0.117,Neutral,Market consolidating around key levels.
2018-10-31,0.102,Neutral,Market participants remain undecided.
2018-11-01,0.148,Neutral,Market participants remain undecided.
2018-11-02,0.097,Neutral,Sideways trading continues throughout the session.
2018-11-03,-0.211,Neutral,Low volatility day ahead of fed meeting.
2018-11-04,0.15,Neutral,Market participants remain undecided.
2018-11-05,-0.062,Neutral,Low volatility day ahead of fed meeting.
2018-11-06,0.224,Neutral,Low volatility day ahead of fed meeting.
2018-11-07,0.21,Neutral,Market participants remain undecided.
2018-11-08,-0.385,Negative,Bears dominating as support levels break.
2018-11-09,-0.188,Neutral,Market participants remain undecided.
2018-11-10,0.228,Neutral,Market participants remain undecided.
2018-11-11,-0.068,Neutral,Market consolidating around key levels.
2018-11-12,-0.02,Neutral,Sideways trading continues throughout the session.
2018-11-13,-0.085,Neutral,Market consolidating around key levels.
2018-11-14,-0.801,Negative,Bears dominating as support levels break.
2018-11-15,-0.592,Negative,Fears of regulatory crackdown loom.
2018-11-16,-0.42,Negative,Fears of regulatory crackdown loom.
2018-11-17,-0.234,Neutral,Market consolidating around key levels.
2018-11-18,0.173,Neutral,Low volatility day ahead of fed meeting.
2018-11-19,-0.925,Negative,Fears of regulatory crackdown loom.
