date,sentiment_score,sentiment_label,simulated_headline
2019-08-07,0.269,Neutral,Sideways trading continues throughout the session.
2019-08-08,-0.219,Neutral,Low volatility day ahead of fed meeting.
2019-08-09,-0.286,Neutral,Sideways trading continues throughout the session.
2019-08-10,-0.168,Neutral,Sideways trading continues throughout the session.
2019-08-11,0.023,Neutral,Low volatility day ahead of fed meeting.
2019-08-12,-0.298,Neutral,Trading sideways with no clear direction.
2019-08-13,-0.14,Neutral,Market consolidating around key levels.
2019-08-14,-0.664,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-08-15,-0.682,Negative,Investors fleeing risk-on assets.
2019-08-16,0.572,Positive,Positive regulatory news sparks a rally.
2019-08-17,-0.229,Neutral,Market participants remain undecided.
2019-08-18,0.35,Positive,Record high inflows seen in crypto funds.
2019-08-19,0.615,Positive,Market shows strong resilience.
2019-08-20,-0.206,Neutral,Sideways trading continues throughout the session.
2019-08-21,-0.598,Negative,Fears of regulatory crackdown loom.
2019-08-22,-0.119,Neutral,Trading sideways with no clear direction.
2019-08-23,-0.033,Neutral,Low volatility day ahead of fed meeting.
2019-08-24,-0.073,Neutral,Trading sideways with no clear direction.
2019-08-25,0.146,Neutral,Low volatility day ahead of fed meeting.
2019-08-26,0.309,Positive,Market shows strong resilience.
2019-08-27,-0.095,Neutral,Low volatility day ahead of fed meeting.
2019-08-28,-0.518,Negative,Bears dominating as support levels break.
2019-08-29,-0.432,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-08-30,-0.026,Neutral,Trading sideways with no clear direction.
2019-08-31,-0.19,Neutral,Sideways trading continues throughout the session.
2019-09-01,0.004,Neutral,Market consolidating around key levels.
2019-09-02,0.928,Positive,Record high inflows seen in crypto funds.
2019-09-03,-0.335,Negative,Fears of regulatory crackdown loom.
2019-09-04,-0.126,Neutral,Trading sideways with no clear direction.
2019-09-05,-0.31,Negative,Investors fleeing risk-on assets.
2019-09-06,-0.076,Neutral,Market consolidating around key levels.
2019-09-07,0.214,Neutral,Trading sideways with no clear direction.
2019-09-08,-0.018,Neutral,Low volatility day ahead of fed meeting.
2019-09-09,-0.015,Neutral,Sideways trading continues throughout the session.
2019-09-10,0.061,Neutral,Sideways trading continues throughout the session.
2019-09-11,-0.242,Neutral,Trading sideways with no clear direction.
2019-09-12,0.008,Neutral,Low volatility day ahead of fed meeting.
2019-09-13,0.139,Neutral,Trading sideways with no clear direction.
2019-09-14,-0.1,Neutral,Low volatility day ahead of fed meeting.
2019-09-15,0.204,Neutral,Sideways trading continues throughout the session.
2019-09-16,-0.031,Neutral,Market participants remain undecided.
2019-09-17,1.0,Positive,Institutional adoption continues to grow.
2019-09-18,0.524,Positive,Market shows strong resilience.
2019-09-19,0.223,Neutral,Sideways trading continues throughout the session.
2019-09-20,-0.466,Negative,Investors fleeing risk-on assets.
2019-09-21,-0.241,Neutral,Trading sideways with no clear direction.
2019-09-22,0.115,Neutral,Low volatility day ahead of fed meeting.
2019-09-23,-0.815,Negative,Bears dominating as support levels break.
2019-09-24,-0.87,Negative,Fears of regulatory crackdown loom.
2019-09-25,-0.067,Neutral,Low volatility day ahead of fed meeting.
2019-09-26,-0.106,Neutral,Market participants remain undecided.
2019-09-27,0.196,Neutral,Market participants remain undecided.
2019-09-28,0.325,Positive,Record high inflows seen in crypto funds.
2019-09-29,-0.194,Neutral,Sideways trading continues throughout the session.
2019-09-30,1.0,Positive,Record high inflows seen in crypto funds.
2019-10-01,-0.165,Neutral,Sideways trading continues throughout the session.
2019-10-02,-0.279,Neutral,Market participants remain undecided.
2019-10-03,-0.299,Neutral,Low volatility day ahead of fed meeting.
2019-10-04,0.087,Neutral,Market consolidating around key levels.
2019-10-05,-0.03,Neutral,Trading sideways with no clear direction.
2019-10-06,-0.259,Neutral,Market participants remain undecided.
2019-10-07,0.33,Positive,Record high inflows seen in crypto funds.
2019-10-08,-0.074,Neutral,Market consolidating around key levels.
2019-10-09,0.431,Positive,Positive regulatory news sparks a rally.
2019-10-10,-0.287,Neutral,Market participants remain undecided.
2019-10-11,0.012,Neutral,Low volatility day ahead of fed meeting.
2019-10-12,0.157,Neutral,Trading sideways with no clear direction.
2019-10-13,0.848,Positive,Market shows strong resilience.
2019-10-14,0.769,Positive,Institutional adoption continues to grow.
2019-10-15,-0.169,Neutral,Trading sideways with no clear direction.
2019-10-16,0.58,Positive,Market shows strong resilience.
2019-10-17,0.672,Positive,Institutional adoption continues to grow.
2019-10-18,-0.336,Negative,Major exchange hack sparks panic selling.
2019-10-19,0.296,Neutral,Trading sideways with no clear direction.
2019-10-20,0.166,Neutral,Trading sideways with no clear direction.
2019-10-21,0.024,Neutral,Market consolidating around key levels.
2019-10-22,-0.681,Negative,Bears dominating as support levels break.
2019-10-23,-0.211,Neutral,Trading sideways with no clear direction.
2019-10-24,0.385,Positive,Positive regulatory news sparks a rally.
2019-10-25,1.0,Positive,Bulls taking control of the market.
2019-10-26,-0.6,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-10-27,0.179,Neutral,Low volatility day ahead of fed meeting.
2019-10-28,-0.139,Neutral,Market participants remain undecided.
2019-10-29,0.094,Neutral,Sideways trading continues throughout the session.
2019-10-30,-0.182,Neutral,Low volatility day ahead of fed meeting.
2019-10-31,-0.143,Neutral,Low volatility day ahead of fed meeting.
2019-11-01,0.17,Neutral,Trading sideways with no clear direction.
2019-11-02,-0.253,Neutral,Trading sideways with no clear direction.
2019-11-03,0.127,Neutral,Low volatility day ahead of fed meeting.
2019-11-04,0.085,Neutral,Low volatility day ahead of fed meeting.
2019-11-05,0.283,Neutral,Low volatility day ahead of fed meeting.
2019-11-06,0.055,Neutral,Sideways trading continues throughout the session.
2019-11-07,0.587,Positive,Record high inflows seen in crypto funds.
2019-11-08,-0.23,Neutral,Low volatility day ahead of fed meeting.
2019-11-09,0.429,Positive,Institutional adoption continues to grow.
2019-11-10,0.299,Neutral,Sideways trading continues throughout the session.
2019-11-11,-0.2,Neutral,Market consolidating around key levels.
2019-11-12,-0.141,Neutral,Market participants remain undecided.
2019-11-13,-0.071,Neutral,Market consolidating around key levels.
2019-11-14,-0.022,Neutral,Market participants remain undecided.
2019-11-15,-0.198,Neutral,Sideways trading continues throughout the session.
2019-11-16,0.11,Neutral,Market participants remain undecided.
2019-11-17,-0.191,Neutral,Sideways trading continues throughout the session.
2019-11-18,-0.519,Negative,Major exchange hack sparks panic selling.
2019-11-19,-0.07,Neutral,Low volatility day ahead of fed meeting.
2019-11-20,-0.151,Neutral,Trading sideways with no clear direction.
2019-11-21,-0.751,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-11-22,-0.491,Negative,Bears dominating as support levels break.
2019-11-23,0.422,Positive,Positive regulatory news sparks a rally.
2019-11-24,-0.961,Negative,Fears of regulatory crackdown loom.
2019-11-25,0.009,Neutral,Market participants remain undecided.
2019-11-26,0.018,Neutral,Trading sideways with no clear direction.
2019-11-27,0.208,Neutral,Market consolidating around key levels.
2019-11-28,-0.312,Negative,Bears dominating as support levels break.
2019-11-29,0.59,Positive,Bulls taking control of the market.
2019-11-30,-0.603,Negative,Bears dominating as support levels break.
2019-12-01,-0.36,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-12-02,-0.457,Negative,Bears dominating as support levels break.
2019-12-03,-0.467,Negative,Fears of regulatory crackdown loom.
2019-12-04,0.048,Neutral,Market consolidating around key levels.
2019-12-05,-0.038,Neutral,Low volatility day ahead of fed meeting.
2019-12-06,0.254,Neutral,Low volatility day ahead of fed meeting.
2019-12-07,-0.128,Neutral,Sideways trading continues throughout the session.
2019-12-08,-0.1,Neutral,Market participants remain undecided.
2019-12-09,-0.298,Neutral,Market participants remain undecided.
2019-12-10,-0.208,Neutral,Trading sideways with no clear direction.
2019-12-11,0.14,Neutral,Trading sideways with no clear direction.
2019-12-12,-0.177,Neutral,Market consolidating around key levels.
2019-12-13,0.073,Neutral,Trading sideways with no clear direction.
2019-12-14,-0.046,Neutral,Market participants remain undecided.
2019-12-15,0.242,Neutral,Sideways trading continues throughout the session.
2019-12-16,-0.288,Neutral,Market consolidating around key levels.
2019-12-17,-0.606,Negative,Fears of regulatory crackdown loom.
2019-12-18,0.406,Positive,Bulls taking control of the market.
2019-12-19,-0.311,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-12-20,0.184,Neutral,Low volatility day ahead of fed meeting.
2019-12-21,0.034,Neutral,Market participants remain undecided.
2019-12-22,0.428,Positive,Market shows strong resilience.
2019-12-23,-0.429,Negative,Major exchange hack sparks panic selling.
2019-12-24,-0.072,Neutral,Market consolidating around key levels.
2019-12-25,-0.001,Neutral,Market participants remain undecided.
2019-12-26,-0.066,Neutral,Market participants remain undecided.
2019-12-27,0.114,Neutral,Market participants remain undecided.
2019-12-28,0.148,Neutral,Trading sideways with no clear direction.
2019-12-29,-0.202,Neutral,Trading sideways with no clear direction.
2019-12-30,-0.114,Neutral,Low volatility day ahead of fed meeting.
2019-12-31,-0.182,Neutral,Sideways trading continues throughout the session.
2020-01-01,-0.053,Neutral,Trading sideways with no clear direction.
2020-01-02,-0.293,Neutral,Trading sideways with no clear direction.
2020-01-03,0.301,Positive,Institutional adoption continues to grow.
2020-01-04,0.35,Positive,Bulls taking control of the market.
2020-01-05,0.059,Neutral,Low volatility day ahead of fed meeting.
2020-01-06,0.444,Positive,Institutional adoption continues to grow.
2020-01-07,0.301,Positive,Record high inflows seen in crypto funds.
2020-01-08,-0.67,Negative,Investors fleeing risk-on assets.
2020-01-09,0.097,Neutral,Sideways trading continues throughout the session.
2020-01-10,0.329,Positive,Market shows strong resilience.
2020-01-11,-0.093,Neutral,Market consolidating around key levels.
2020-01-12,0.082,Neutral,Market consolidating around key levels.
2020-01-13,-0.212,Neutral,Market participants remain undecided.
2020-01-14,0.844,Positive,Institutional adoption continues to grow.
2020-01-15,0.284,Neutral,Sideways trading continues throughout the session.
2020-01-16,-0.185,Neutral,Trading sideways with no clear direction.
2020-01-17,0.951,Positive,Bulls taking control of the market.
2020-01-18,0.228,Neutral,Market participants remain undecided.
2020-01-19,-0.714,Negative,Investors fleeing risk-on assets.
2020-01-20,-0.206,Neutral,Market consolidating around key levels.
2020-01-21,-0.112,Neutral,Market consolidating around key levels.
2020-01-22,-0.083,Neutral,Sideways trading continues throughout the session.
2020-01-23,-0.676,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-01-24,-0.014,Neutral,Trading sideways with no clear direction.
2020-01-25,-0.01,Neutral,Market consolidating around key levels.
2020-01-26,0.286,Neutral,Market consolidating around key levels.
2020-01-27,0.329,Positive,Positive regulatory news sparks a rally.
2020-01-28,0.439,Positive,Institutional adoption continues to grow.
2020-01-29,-0.22,Neutral,Trading sideways with no clear direction.
2020-01-30,0.13,Neutral,Trading sideways with no clear direction.
2020-01-31,-0.413,Negative,Fears of regulatory crackdown loom.
2020-02-01,0.122,Neutral,Sideways trading continues throughout the session.
2020-02-02,0.078,Neutral,Market consolidating around key levels.
2020-02-03,-0.122,Neutral,Market participants remain undecided.
2020-02-04,0.431,Positive,Positive regulatory news sparks a rally.
2020-02-05,0.277,Neutral,Trading sideways with no clear direction.
2020-02-06,0.482,Positive,Bulls taking control of the market.
2020-02-07,0.882,Positive,Positive regulatory news sparks a rally.
2020-02-08,0.814,Positive,Bulls taking control of the market.
2020-02-09,0.263,Neutral,Low volatility day ahead of fed meeting.
2020-02-10,-1.0,Negative,Major exchange hack sparks panic selling.
2020-02-11,0.287,Neutral,Market participants remain undecided.
2020-02-12,0.277,Neutral,Low volatility day ahead of fed meeting.
2020-02-13,-0.282,Neutral,Sideways trading continues throughout the session.
2020-02-14,0.563,Positive,Market shows strong resilience.
2020-02-15,-0.899,Negative,Fears of regulatory crackdown loom.
2020-02-16,-0.725,Negative,Investors fleeing risk-on assets.
2020-02-17,-0.411,Negative,Major exchange hack sparks panic selling.
2020-02-18,1.0,Positive,Market shows strong resilience.
2020-02-19,-0.994,Negative,Major exchange hack sparks panic selling.
2020-02-20,0.182,Neutral,Low volatility day ahead of fed meeting.
2020-02-21,0.164,Neutral,Trading sideways with no clear direction.
2020-02-22,-0.313,Negative,Fears of regulatory crackdown loom.
2020-02-23,0.586,Positive,Institutional adoption continues to grow.
2020-02-24,-0.396,Negative,Major exchange hack sparks panic selling.
2020-02-25,-0.448,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-02-26,-0.787,Negative,Investors fleeing risk-on assets.
2020-02-27,-0.131,Neutral,Low volatility day ahead of fed meeting.
2020-02-28,-0.193,Neutral,Trading sideways with no clear direction.
2020-02-29,-0.609,Negative,Major exchange hack sparks panic selling.
2020-03-01,0.457,Positive,Institutional adoption continues to grow.
2020-03-02,0.715,Positive,Bulls taking control of the market.
2020-03-03,1.0,Positive,Bulls taking control of the market.
2020-03-04,-0.419,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-03-05,0.387,Positive,Record high inflows seen in crypto funds.
2020-03-06,-0.099,Neutral,Market participants remain undecided.
2020-03-07,-0.436,Negative,Major exchange hack sparks panic selling.
2020-03-08,-1.0,Negative,Investors fleeing risk-on assets.
2020-03-09,0.505,Positive,Market shows strong resilience.
2020-03-10,-0.24,Neutral,Low volatility day ahead of fed meeting.
2020-03-11,-0.304,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-03-12,-1.0,Negative,Investors fleeing risk-on assets.
2020-03-13,0.884,Positive,Institutional adoption continues to grow.
2020-03-14,-0.622,Negative,Investors fleeing risk-on assets.
2020-03-15,0.117,Neutral,Market participants remain undecided.
2020-03-16,-0.8,Negative,Fears of regulatory crackdown loom.
2020-03-17,0.261,Neutral,Market consolidating around key levels.
2020-03-18,-0.024,Neutral,Sideways trading continues throughout the session.
2020-03-19,1.0,Positive,Institutional adoption continues to grow.
2020-03-20,0.165,Neutral,Low volatility day ahead of fed meeting.
2020-03-21,-0.061,Neutral,Low volatility day ahead of fed meeting.
2020-03-22,-0.467,Negative,Fears of regulatory crackdown loom.
2020-03-23,0.931,Positive,Market shows strong resilience.
2020-03-24,0.162,Neutral,Trading sideways with no clear direction.
2020-03-25,0.007,Neutral,Market consolidating around key levels.
2020-03-26,0.018,Neutral,Market consolidating around key levels.
2020-03-27,-0.596,Negative,Bears dominating as support levels break.
2020-03-28,0.208,Neutral,Market consolidating around key levels.
2020-03-29,-0.846,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-03-30,0.7,Positive,Record high inflows seen in crypto funds.
2020-03-31,-0.004,Neutral,Trading sideways with no clear direction.
2020-04-01,0.615,Positive,Market shows strong resilience.
2020-04-02,0.259,Neutral,Sideways trading continues throughout the session.
2020-04-03,-0.314,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-04-04,0.24,Neutral,Market participants remain undecided.
2020-04-05,-0.178,Neutral,Low volatility day ahead of fed meeting.
2020-04-06,1.0,Positive,Institutional adoption continues to grow.
2020-04-07,-0.095,Neutral,Market consolidating around key levels.
2020-04-08,-0.095,Neutral,Trading sideways with no clear direction.
2020-04-09,0.132,Neutral,Trading sideways with no clear direction.
2020-04-10,-0.438,Negative,Investors fleeing risk-on assets.
2020-04-11,0.044,Neutral,Market consolidating around key levels.
2020-04-12,0.099,Neutral,Market participants remain undecided.
2020-04-13,-0.059,Neutral,Market consolidating around key levels.
2020-04-14,-0.023,Neutral,Trading sideways with no clear direction.
2020-04-15,-0.437,Negative,Fears of regulatory crackdown loom.
2020-04-16,0.888,Positive,Record high inflows seen in crypto funds.
2020-04-17,-0.122,Neutral,Market participants remain undecided.
2020-04-18,0.253,Neutral,Sideways trading continues throughout the session.
2020-04-19,0.037,Neutral,Low volatility day ahead of fed meeting.
2020-04-20,-0.355,Negative,Major exchange hack sparks panic selling.
2020-04-21,-0.067,Neutral,Market consolidating around key levels.
2020-04-22,0.166,Neutral,Trading sideways with no clear direction.
2020-04-23,0.574,Positive,Record high inflows seen in crypto funds.
2020-04-24,0.415,Positive,Market shows strong resilience.
2020-04-25,0.22,Neutral,Market participants remain undecided.
2020-04-26,0.864,Positive,Record high inflows seen in crypto funds.
2020-04-27,-0.221,Neutral,Market participants remain undecided.
2020-04-28,-0.176,Neutral,Market consolidating around key levels.
2020-04-29,1.0,Positive,Positive regulatory news sparks a rally.
2020-04-30,-0.331,Negative,Investors fleeing risk-on assets.
2020-05-01,0.45,Positive,Positive regulatory news sparks a rally.
2020-05-02,0.462,Positive,Market shows strong resilience.
2020-05-03,-0.313,Negative,Fears of regulatory crackdown loom.
2020-05-04,-0.248,Neutral,Sideways trading continues throughout the session.
2020-05-05,0.111,Neutral,Trading sideways with no clear direction.
2020-05-06,0.001,Neutral,Market participants remain undecided.
2020-05-07,0.86,Positive,Record high inflows seen in crypto funds.
2020-05-08,-0.187,Neutral,Market consolidating around key levels.
2020-05-09,0.105,Neutral,Market participants remain undecided.
2020-05-10,-0.814,Negative,Investors fleeing risk-on assets.
2020-05-11,-0.388,Negative,Investors fleeing risk-on assets.
2020-05-12,0.252,Neutral,Low volatility day ahead of fed meeting.
2020-05-13,0.496,Positive,Institutional adoption continues to grow.
2020-05-14,0.177,Neutral,Sideways trading continues throughout the session.
2020-05-15,-0.474,Negative,Investors fleeing risk-on assets.
2020-05-16,-0.074,Neutral,Low volatility day ahead of fed meeting.
2020-05-17,-0.036,Neutral,Low volatility day ahead of fed meeting.
2020-05-18,0.086,Neutral,Sideways trading continues throughout the session.
2020-05-19,0.025,Neutral,Sideways trading continues throughout the session.
2020-05-20,-0.167,Neutral,Market consolidating around key levels.
2020-05-21,-0.165,Neutral,Low volatility day ahead of fed meeting.
2020-05-22,0.444,Positive,Record high inflows seen in crypto funds.
2020-05-23,-0.095,Neutral,Market consolidating around key levels.
2020-05-24,-0.545,Negative,Major exchange hack sparks panic selling.
2020-05-25,0.516,Positive,Bulls taking control of the market.
2020-05-26,-0.183,Neutral,Trading sideways with no clear direction.
2020-05-27,0.189,Neutral,Trading sideways with no clear direction.
2020-05-28,0.183,Neutral,Low volatility day ahead of fed meeting.
2020-05-29,0.031,Neutral,Market participants remain undecided.
2020-05-30,0.409,Positive,Positive regulatory news sparks a rally.
2020-05-31,-0.469,Negative,Bears dominating as support levels break.
2020-06-01,0.615,Positive,Market shows strong resilience.
2020-06-02,-0.596,Negative,Investors fleeing risk-on assets.
2020-06-03,0.1,Neutral,Trading sideways with no clear direction.
2020-06-04,0.116,Neutral,Low volatility day ahead of fed meeting.
2020-06-05,-0.314,Negative,Bears dominating as support levels break.
2020-06-06,0.167,Neutral,Market participants remain undecided.
2020-06-07,-0.13,Neutral,Sideways trading continues throughout the session.
2020-06-08,-0.184,Neutral,Sideways trading continues throughout the session.
2020-06-09,-0.12,Neutral,Sideways trading continues throughout the session.
2020-06-10,-0.01,Neutral,Sideways trading continues throughout the session.
2020-06-11,-0.93,Negative,Bears dominating as support levels break.
2020-06-12,0.401,Positive,Record high inflows seen in crypto funds.
2020-06-13,0.094,Neutral,Market consolidating around key levels.
2020-06-14,-0.017,Neutral,Sideways trading continues throughout the session.
2020-06-15,0.034,Neutral,Market consolidating around key levels.
2020-06-16,0.051,Neutral,Market participants remain undecided.
2020-06-17,-0.117,Neutral,Sideways trading continues throughout the session.
2020-06-18,0.034,Neutral,Low volatility day ahead of fed meeting.
2020-06-19,0.064,Neutral,Trading sideways with no clear direction.
2020-06-20,-0.027,Neutral,Sideways trading continues throughout the session.
2020-06-21,0.076,Neutral,Low volatility day ahead of fed meeting.
2020-06-22,0.05,Neutral,Market consolidating around key levels.
2020-06-23,-0.231,Neutral,Low volatility day ahead of fed meeting.
2020-06-24,-0.356,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-06-25,-0.24,Neutral,Low volatility day ahead of fed meeting.
2020-06-26,-0.492,Negative,Major exchange hack sparks panic selling.
2020-06-27,-0.172,Neutral,Market consolidating around key levels.
2020-06-28,-0.131,Neutral,Sideways trading continues throughout the session.
2020-06-29,-0.052,Neutral,Low volatility day ahead of fed meeting.
2020-06-30,0.166,Neutral,Sideways trading continues throughout the session.
2020-07-01,-0.033,Neutral,Market participants remain undecided.
2020-07-02,0.037,Neutral,Market consolidating around key levels.
2020-07-03,0.162,Neutral,Market consolidating around key levels.
2020-07-04,-0.229,Neutral,Trading sideways with no clear direction.
2020-07-05,-0.169,Neutral,Low volatility day ahead of fed meeting.
2020-07-06,0.958,Positive,Market shows strong resilience.
2020-07-07,0.96,Positive,Market shows strong resilience.
2020-07-08,1.0,Positive,Positive regulatory news sparks a rally.
2020-07-09,-1.0,Negative,Investors fleeing risk-on assets.
2020-07-10,-1.0,Negative,Bears dominating as support levels break.
2020-07-11,0.944,Positive,Positive regulatory news sparks a rally.
2020-07-12,-0.828,Negative,Fears of regulatory crackdown loom.
2020-07-13,-0.995,Negative,Bears dominating as support levels break.
2020-07-14,0.727,Positive,Bulls taking control of the market.
2020-07-15,-1.0,Negative,Major exchange hack sparks panic selling.
2020-07-16,-0.576,Negative,Fears of regulatory crackdown loom.
2020-07-17,0.441,Positive,Market shows strong resilience.
2020-07-18,1.0,Positive,Record high inflows seen in crypto funds.
2020-07-19,-0.408,Negative,Major exchange hack sparks panic selling.
2020-07-20,-0.827,Negative,Investors fleeing risk-on assets.
2020-07-21,0.331,Positive,Positive regulatory news sparks a rally.
2020-07-22,0.14,Neutral,Low volatility day ahead of fed meeting.
2020-07-23,0.162,Neutral,Market participants remain undecided.
2020-07-24,-0.241,Neutral,Market participants remain undecided.
2020-07-25,0.017,Neutral,Sideways trading continues throughout the session.
2020-07-26,-0.081,Neutral,Market consolidating around key levels.
2020-07-27,-0.265,Neutral,Trading sideways with no clear direction.
2020-07-28,0.176,Neutral,Trading sideways with no clear direction.
2020-07-29,-0.247,Neutral,Sideways trading continues throughout the session.
2020-07-30,0.385,Positive,Positive regulatory news sparks a rally.
2020-07-31,-0.06,Neutral,Low volatility day ahead of fed meeting.
2020-08-01,1.0,Positive,Market shows strong resilience.
2020-08-02,-1.0,Negative,Investors fleeing risk-on assets.
2020-08-03,0.386,Positive,Institutional adoption continues to grow.
2020-08-04,0.77,Positive,Record high inflows seen in crypto funds.
2020-08-05,-0.085,Neutral,Low volatility day ahead of fed meeting.
2020-08-06,0.086,Neutral,Sideways trading continues throughout the session.
2020-08-07,-0.167,Neutral,Market participants remain undecided.
2020-08-08,0.106,Neutral,Low volatility day ahead of fed meeting.
2020-08-09,-0.208,Neutral,Trading sideways with no clear direction.
2020-08-10,0.21,Neutral,Market consolidating around key levels.
2020-08-11,-0.262,Neutral,Sideways trading continues throughout the session.
2020-08-12,0.317,Positive,Record high inflows seen in crypto funds.
2020-08-13,0.166,Neutral,Trading sideways with no clear direction.
2020-08-14,0.467,Positive,Positive regulatory news sparks a rally.
2020-08-15,-0.303,Negative,Bears dominating as support levels break.
2020-08-16,0.045,Neutral,Sideways trading continues throughout the session.
2020-08-17,0.384,Positive,Record high inflows seen in crypto funds.
2020-08-18,-0.339,Negative,Bears dominating as support levels break.
2020-08-19,-0.094,Neutral,Market consolidating around key levels.
2020-08-20,0.261,Neutral,Trading sideways with no clear direction.
2020-08-21,-0.297,Neutral,Trading sideways with no clear direction.
2020-08-22,0.141,Neutral,Trading sideways with no clear direction.
2020-08-23,-0.081,Neutral,Market consolidating around key levels.
2020-08-24,-0.064,Neutral,Low volatility day ahead of fed meeting.
2020-08-25,-0.443,Negative,Major exchange hack sparks panic selling.
2020-08-26,0.029,Neutral,Trading sideways with no clear direction.
2020-08-27,-0.588,Negative,Fears of regulatory crackdown loom.
2020-08-28,0.286,Neutral,Market participants remain undecided.
2020-08-29,-0.144,Neutral,Trading sideways with no clear direction.
2020-08-30,0.291,Neutral,Market participants remain undecided.
2020-08-31,-0.289,Neutral,Trading sideways with no clear direction.
2020-09-01,0.264,Neutral,Sideways trading continues throughout the session.
2020-09-02,-0.494,Negative,Major exchange hack sparks panic selling.
2020-09-03,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-09-04,0.554,Positive,Positive regulatory news sparks a rally.
2020-09-05,-0.401,Negative,Major exchange hack sparks panic selling.
2020-09-06,0.186,Neutral,Sideways trading continues throughout the session.
2020-09-07,0.284,Neutral,Low volatility day ahead of fed meeting.
2020-09-08,-0.388,Negative,Major exchange hack sparks panic selling.
2020-09-09,0.171,Neutral,Market consolidating around key levels.
2020-09-10,0.214,Neutral,Market participants remain undecided.
2020-09-11,-0.072,Neutral,Sideways trading continues throughout the session.
2020-09-12,0.057,Neutral,Low volatility day ahead of fed meeting.
2020-09-13,-0.325,Negative,Major exchange hack sparks panic selling.
2020-09-14,-0.131,Neutral,Low volatility day ahead of fed meeting.
2020-09-15,0.362,Positive,Institutional adoption continues to grow.
2020-09-16,-0.13,Neutral,Low volatility day ahead of fed meeting.
2020-09-17,-0.127,Neutral,Trading sideways with no clear direction.
2020-09-18,-0.051,Neutral,Low volatility day ahead of fed meeting.
2020-09-19,-0.002,Neutral,Sideways trading continues throughout the session.
2020-09-20,-0.114,Neutral,Low volatility day ahead of fed meeting.
2020-09-21,-0.922,Negative,Market bleeds amidst macroeconomic uncertainty.
2020-09-22,0.403,Positive,Record high inflows seen in crypto funds.
2020-09-23,-0.606,Negative,Fears of regulatory crackdown loom.
2020-09-24,0.696,Positive,Institutional adoption continues to grow.
2020-09-25,0.329,Positive,Market shows strong resilience.
2020-09-26,0.153,Neutral,Sideways trading continues throughout the session.
2020-09-27,-0.081,Neutral,Market participants remain undecided.
2020-09-28,-0.136,Neutral,Market consolidating around key levels.
2020-09-29,0.274,Neutral,Low volatility day ahead of fed meeting.
2020-09-30,-0.283,Neutral,Low volatility day ahead of fed meeting.
2020-10-01,-0.124,Neutral,Market participants remain undecided.
